Código,Descripción,Clase,Familia,Segmento
10101501,Gatos,,,
10101502,Perros,,,
10101504,Visón,,,
10101505,Ratas,,,
10101506,Caballos,,,
10101507,Ovejas,,,
10101508,Cabras,,,
10101509,Asnos,,,
10101510,Ratones,,,
10101511,Cerdos,,,
10101512,Conejos,,,
10101513,Cobayas o conejillos,,,
10101514,Primates,,,
10101515,Armadillos,,,
10101516,Ganado vacuno Animal cuadrúpedo hembra del toro,,,
10101517,Camellos,,,
10101601,Pollos vivos Cría que nace de cada huevo de ave y en especial la de la,,,
10101602,Patos vivos,,,
10101603,Pavos vivos,,,
10101604,Gansos vivos,,,
10101605,Faisanes vivos,,,
10101701,Salmón vivos,,,
10101702,Trucha viva,,,
10101703,Tilapia viva,,,
10101704,Carpa viva,,,
10101705,Anguilas vivas,,,
10101801,Camarón vivo,,,
10101802,Almejas vivas,,,
10101803,Mejillones vivos,,,
10101804,Ostras vivas,,,
10101805,Cangrejos vivos Cada uno de los artrópodos crustáceos del orden de los,,,
10101806,Abulones vivos,,,
10101807,Pulpo vivo,,,
10101808,Calamar vivo,,,
10101901,Mariposas,,,
10101902,Escarabajos,,,
10101903,Abejas,,,
10101904,Gusanos de seda,,,
10102001,Elefantes,,,
10102002,Zorros vivos,,,
10111301,Juguetes para,,,
10111307,Cobijas para,,,
10121501,Salvado de trigo puro,,,
10121502,Avena para forraje,,,
10121503,Maíz para forraje,,,
10121504,Sorgo para forraje,,,
10121505,Heno,,,
10121506,Tortas oleaginosas Masa en forma redonda resultado del hueso de la aceituna,,,
10121601,Alimento vivo para,,,
10121602,Alpiste,,,
10121604,Alimento avícola Cada una de las sustancias o conjunto de cosas que una ave,,,
10121701,Salmuera fresca o,,,
10121702,Alimento granulado,,,
10121703,Alimento en hojuelas,,,
10121801,Comida seca para,,,
10121802,Comida húmeda,,,
10121803,Leche para perros o,,,
10121804,Comida seca para,,,
10121805,Comida húmeda,,,
10121901,Comida granulada,,,
10122001,Comida granulada,,,
10122002,Comida húmeda,,,
10122003,Comida viva para,,,
10122101,Comida para cerdos Cada una de las sustancias o conjunto de cosas que los,,,
10122102,Comida para visones Cada una de las sustancias o conjunto de cosas que los,,,
10122103,Comida para monos Cada una de las sustancias o conjunto de cosas que los,,,
10131506,Establos para ganado Lugar cubierto en que se encierra ganado para su descanso y,,,
10131507,Casas para mascotas,,,
10131508,Camas para,,,
10131601,Jaulas o sus,,,
10131602,Perreras Lugar o sitio donde se guardan o encierran los perros,,,
10131604,"Correas para perros Tira de cuero, que se usa para amarrar a los perros",,,
10131701,Terrarios Instalación adecuada para mantener vivos y en las mejores,,,
10131702,Acuarios,,,
10141501,Sillas de montar,,,
10141502,Fustas y látigos,,,
10141503,Herraduras para,,,
10141504,Herraduras para,,,
10141601,Bridas Freno del caballo con las riendas y todo el correaje que sirve,,,
10141602,Yugos,,,
10141603,Bocados para,,,
10141604,Riendas,,,
10141605,"Estribos Pieza de metal, madera o cuero en que el jinete apoya el pie,",,,
10141606,"Correas o traíllas Cinta de cuero para sujetar la silla de montar arneses,correas o traillas,leashes or leads,",,,
10141607,Arneses de cuello,,,
10141608,Arneses o sus,,,
10141609,Sujetadores Equipos que se utilizan para unir algo epara que no puede,,,
10141610,Bozales,,,
10141611,Soportes para,,,
10151501,Semillas o plántulas,,,
10151502,Semillas o plántulas,,,
10151503,Semillas o plántulas,,,
10151504,Semillas o plántulas,,,
10151505,Semillas o plántulas,,,
10151506,Semillas o plántulas,,,
10151507,Semillas o plántulas,,,
10151508,Semillas o plántulas,,,
10151509,Semillas o plántulas,,,
10151510,Semillas o plántulas,,,
10151511,Semillas o plántulas,,,
10151512,Semillas o plántulas,,,
10151513,Semillas o plántulas,,,
10151514,Semillas o plántulas,,,
10151515,Semillas o plántulas,,,
10151516,Semillas o plántulas,,,
10151517,Semillas o plántulas,,,
10151518,Semillas o plántulas,,,
10151519,Semillas o plántulas,,,
10151520,Semillas o plántulas,,,
10151521,Semillas o plántulas,,,
10151522,Semillas o plántulas,,,
10151523,Semillas o plántulas,,,
10151524,Semillas o plántulas,,,
10151525,Semillas o plántulas,,,
10151526,Semillas o plántulas,,,
10151527,Semillas o plántulas,,,
10151528,Semillas o plántulas,,,
10151529,Semillas o plántulas,,,
10151530,Semillas o plántulas,,,
10151532,Semillas o plántulas,,,
10151533,Semillas o plántulas,,,
10151534,Semillas o plántulas,,,
10151535,Semillas o plántulas,,,
10151601,Semillas de trigo,,,
10151602,Semillas de canola,,,
10151603,Semillas de cebada,,,
10151604,Semillas de mijo,,,
10151605,Semillas de avena,,,
10151606,Semillas de ajonjolí,,,
10151607,Semillas de linaza,,,
10151608,Semillas de aceite de,,,
10151609,Semillas de maíz,,,
10151610,Semillas de centeno,,,
10151611,Semillas de sorgo,,,
10151701,Semillas o plántulas,,,
10151702,Semillas o plántulas,,,
10151703,Semillas o plántulas,,,
10151704,Semillas o plántulas,,,
10151706,Semillas o plántulas,,,
10151709,Semilla o Plantula de,,,
10151801,Semillas o plántulas,,,
10151802,Semillas o plántulas,,,
10151803,Semillas o plántulas,,,
10151804,Semillas o plántulas,,,
10151805,Semillas o plántulas,,,
10151806,Semillas o plántulas,,,
10151807,Semillas o plántulas,,,
10151808,Semillas o plántulas,,,
10151809,Semillas o plántulas,,,
10151810,Semillas o plántulas,,,
10151811,Semillas o plántulas,,,
10151902,"Semillas, plántulas o",,,
10151904,Semillas de girasol,,,
10151905,Bulbos o tallos de,,,
10151906,Bulbos de lirio,,,
10151907,Semillas o plántulas,,,
10152001,Semillas o esquejes,,,
10152002,Semillas o esquejes,,,
10152102,Residuos de semilla,,,
10152103,Residuo de semillas,,,
10152104,Torta de neem Masa en forma redonda resultado del hueso de la aceituna,,,
10152201,Semillas o plántulas,,,
10152202,Semillas o plántulas,,,
10161501,Aceitunos,,,
10161502,Cafetos,,,
10161503,Cacaoteros,,,
10161504,Manzanos,,,
10161505,"Peros Árbol, variedad del pérsico, cuyo fruto es el melocotón.",,,
10161506,Naranjos,,,
10161507,Rododendros,,,
10161508,Plantas de te,,,
10161509,Coníferas,,,
10161510,Abetos rojos (píceas),,,
10161511,Pinos,,,
10161512,Abetos,,,
10161513,Palmeras,,,
10161601,Rosales,,,
10161602,Poinsettias,,,
10161603,Orquídeas,,,
10161604,Azaleas,,,
10161605,Cactos,,,
10161701,Gladiolos cortados,,,
10161702,Azucenas cortadas,,,
10161703,Claveles cortados,,,
10161704,Tulipanes cortados,,,
10161705,Rosas cortadas,,,
10161707,Arreglo de flores,,,
10161801,Helechos,,,
10161802,Hiedras,,,
10161803,Filodendros,,,
10161804,Líquenes,,,
10161901,Vainas secas Cáscara tierna y larga en que están encerradas las semillas de,,,
10161902,Follaje seco Conjunto de hojas de los árboles y de otras plantas sin agua u,,,
10161903,Helechos secos,,,
10161904,"Flores secas Brote de muchas plantas, formado por hojas de colores sin",,,
10161905,Ramas y tallos secos,,,
10161906,Penachos de,,,
10161907,Flores secas,,,
10161908,"Pétalos secos Hoja transformada, por lo común de bellos colores, que",,,
10171501,"Estiércol o guano Materia orgánica en descomposición, principalmente",,,
10171502,Hormonas para,,,
10171503,Harina de pescado,,,
10171504,Abono Humus obtenido artificialmente por descomposición,,,
10171601,Fertilizante,,,
10171602,Fertilizante de,,,
10171603,Fertilizante de,,,
10171604,Fertilizante de sulfuro Porducto obtenido por reaccion del sulfuro mineral.,,,
10171701,Matamalezas,,,
10171702,Fungicidas,,,
10191506,Mata – roedores,,,
10191507,"Repelentes de aves Que arroja, lanza o echa de sí los pajaros con impulso o",,,
10191508,Protectores contra,,,
10191509,Insecticidas,,,
10191701,Trampas para,,,
10191704,Matamoscas Un matamoscas es un instrumento manual para golpear con,,,
10191705,Lazos,,,
10191706,Cepos,,,
11101501,Mica,,,
11101502,Lija o esmeril,,,
11101503,Cuarzo,,,
11101504,Pirita,,,
11101505,Azufre o sulfuro,,,
11101506,Tiza,,,
11101507,Grafito,,,
11101508,Dolomita,,,
11101509,Magnesita,,,
11101510,Asbesto (amianto),,,
11101511,Calcio,,,
11101512,Borato,,,
11101513,Criolita,,,
11101514,Feldespato,,,
11101515,Leucita,,,
11101516,Nefelita,,,
11101517,Esteatita,,,
11101518,Talco,,,
11101519,Diamante en bruto,,,
11101520,Granates,,,
11101521,Carburo de silicio,,,
11101522,Carbón activado,,,
11101523,Mulita,,,
11101524,Fluorita,,,
11101525,Kieserita,,,
11101526,Carnalita,,,
11101527,Sílice de diatomeas,,,
11101601,Mineral de hierro,,,
11101602,Mineral de titanio,,,
11101603,Mineral de uranio,,,
11101604,Mineral de cobre,,,
11101605,Mineral de aluminio,,,
11101606,Mineral de níquel,,,
11101607,Mineral de plata,,,
11101608,Mineral de plomo,,,
11101609,Mineral de zinc,,,
11101610,Mineral de estaño,,,
11101611,Mineral de,,,
11101612,Mineral de cromo,,,
11101614,Mineral de,,,
11101615,Mineral de cobalto,,,
11101616,Mineral de oro,,,
11101617,Mineral de tántalo,,,
11101618,Mineral de platino,,,
11101619,Mineral de,,,
11101620,Mineral de torio,,,
11101621,"Mineral de cianita Turmalina de color azul o silicato natural de alúmina. Mineral de cianita,mineral,cianita Minerales metálicos Minerales, minerales",,,
11101622,Mineral de antimonio,,,
11101623,Mineral de zirconio,,,
11101701,Escoria o ceniza,,,
11101702,Grafito natural,,,
11101703,Titanio,,,
11101704,Acero,,,
11101705,Aluminio,,,
11101706,Níquel,,,
11101707,Magnesio,,,
11101708,Bismuto,,,
11101709,Antimonio,,,
11101710,Cadmio,,,
11101711,Aleación no ferrosa,,,
