Código,Descripción,Definición,cuenta_digepres,descripcion_digepres
10101501,Gatos,"Mamífero carnívoro de la familia de los Félidos, doméstico, de unos cinco decímetros de largo desde la cabeza hasta el arranque de la cola, que por sí sola mide dos decímetros aproximadamente.",2.6.7.7.01,Especies menores y de zoológico
10101502,Perros,"Mamífero doméstico de la familia de los Cánidos, de tamaño, forma y pelaje muy diversos, según las razas. Tiene olfato muy fino y es inteligente y muy leal al hombre.",2.6.7.7.01,Especies menores y de zoológico
10101504,Visón,"Mamífero carnicero semejante a la nutria, con los dedos reunidos hasta más de la mitad por una membrana. Se alimenta de toda clase de animales pequeños.",2.6.7.7.01,Especies menores y de zoológico
10101505,Ratas,"Mamífero roedor. Es animal muy fecundo, destructor y voraz, se ceba con preferencia en las sustancias duras, y vive por lo común en los edificios y embarcaciones.",2.6.7.7.01,Especies menores y de zoológico
10101506,Caballos,"Mamífero del orden de los Perisodáctilos, solípedo, de cuello y cola poblados de cerdas largas y abundantes, que se domestica fácilmente.",2.6.7.6.01,Equinos
10101507,Ovejas,"Mamífero rumiante, que alcanza de siete a ocho decímetros de altura hasta la cruz, con frente convexa, cuernos huecos, angulosos, arrugados transversalmente y arrollados en espiral, y lana espesa, blanca, negra o rojiza",2.6.7.4.01,Ovinos y caprinos
10101508,Cabras,"Mamífero rumiante doméstico, como de un metro de altura, ligero, esbelto, con pelo corto, áspero y a menudo rojizo, cuernos huecos, grandes, esquinados, nudosos y vueltos hacia atrás, un mechón de pelos largos colgante de la mandíbula inferior y cola muy corta",2.6.7.4.01,Ovinos y caprinos
10101509,Asnos,"Animal solípedo, como de metro y medio de altura, de color, por lo común, ceniciento, con las orejas largas y la extremidad de la cola poblada de cerdas. Es muy sufrido y se le emplea como caballería y como bestia de carga y a veces también de tiro",2.6.7.6.01,Equinos
10101510,Ratones,"Mamífero roedor, de unos dos decímetros de largo desde el hocico hasta la extremidad de la cola, que tiene la mitad, de pelaje generalmente gris, muy fecundo y ágil y que vive en las casas, donde causa daño por lo que come, roe y destruye. Hay especies que habitan en el campo",2.6.7.7.01,Especies menores y de zoológico
10101511,Cerdos,"Mamífero artiodáctilo del grupo de los Suidos, que se cría en domesticidad para aprovechar su cuerpo en la alimentación humana y en otros usos",2.6.7.2.01,Porcinos
10101512,Conejos,"Mamífero del orden de los Lagomorfos, de unos cuatro decímetros de largo, comprendida la cola. Tiene pelo espeso de color ordinariamente gris, orejas tan largas como la cabeza, patas posteriores más largas que las anteriores, aquellas con cuatro dedos y estas con cinco, y cola muy corta. Vive en madrigueras, se domestica fácilmente, su carne es comestible y su pelo se emplea para fieltros y otras manufacturas",2.6.7.7.01,Especies menores y de zoológico
10101513,Cobayas o conejillos de indias,"Mamífero del orden de los Roedores, parecido al conejo, pero más pequeño, con orejas cortas, cola casi nula, tres dedos en las patas posteriores y cuatro en las anteriores. Se usa mucho en experimentos de medicina y bacteriología",2.6.7.7.01,Especies menores y de zoológico
10101514,Primates,"Mamíferos de superior organización, plantígrados, con extremidades terminadas en cinco dedos provistos de uñas, de los cuales el pulgar es oponible a los demás, por lo menos en los miembros torácicos",2.6.7.7.01,Especies menores y de zoológico
10101515,Armadillos,"Mamífero del orden de los Desdentados, con algunos dientes laterales. El cuerpo, que mide de tres a cinco decímetros de longitud, está protegido por un caparazón formado de placas óseas cubiertas por escamas córneas, las cuales son movibles, de modo que el animal puede arrollarse sobre sí mismo. Todas las especies son propias de América Meridional",2.6.7.7.01,Especies menores y de zoológico
10101516,Ganado vacuno,Animal cuadrúpedo hembra del toro,2.6.7.1.01,Bovinos
10101517,Camellos,"Artiodáctilo rumiante, oriundo del Asia central, corpulento y más alto que el caballo, con el cuello largo, la cabeza proporcionalmente pequeña y dos gibas en el dorso, formadas por acumulación de tejido adiposo",2.6.7.7.01,Especies menores y de zoológico
10101601,Pollos vivos,Cría que nace de cada huevo de ave y en especial la de la gallina,2.6.7.3.01,Aves
10101602,Patos vivos,"Ave palmípeda, con el pico más ancho en la punta que en la base y en esta más ancho que alto. Su cuello es corto, y también los tarsos, por lo que anda con dificultad. Tiene una mancha de color verde metálico en cada ala",2.6.7.3.01,Aves
