Código,Descripción,Definición,Auxiliar,Denominación
10161603,Orquídeas,,,
10161801,Helechos,,,
11101502,Lija o esmeril,,,
11101701,Escoria o ceniza,,,
11111502,Material de relleno,,,
11121503,Laca,,,
11141601,Desecho o desperdicio textil Aquello que queda después de haber escogido lo mejor y más útil de los textiles,,2.2.1.8,.01-Recolección de
11151606,"Hebra de fibra de vidrio Hechas a base de sílice o de formulaciones especiales de vidrio, extruídas a modo",,,
11151608,Hebra de nylon Trozo de hilo o fibra textil que se usa para coser de un material sintético de índole,,,
11151610,"Hebra de caucho o látex Hebra larga, muy larga y delgada de un polímero elástico que surge del làtex",,,
11162108,Tela malla de alambre,,,
12161801,Geles,,,
12181503,Parafinas,,,
13101723,Termoplástico,,,
13101904,Urea uf,,,
13101905,Melamina mf,,,
14111508,Papel para fax Es el papel que tiene como finalidad principal disponer de un medio físico por el,,,
14111514,Blocs o cuadernos de papel Es el papel utilizado para apuntar recados.,,2.3.3.3,.01-Productos de
14111526,Papel libretas o libros de,,,
14111531,Papel libros o cuadernos para,,,
14111604,Tarjetas de presentación Son la mejor herramienta para darse a conocer. Hay situaciones en las que no es,,,
14111808,Formatos contables o libros,,,
14121701,Papeles adheridos con,,,
14121810,"Papeles carbón Lámina que permite hacer copias simultáneamente al utilizar máquinas de escribir,",,,
20111606,Vibradores neumáticos,,,
20111619,Cono de perforación de pozos Elementos prefabricados de hormigón para el acceso a la red de tuberías con fines,,,
20111702,Tapones o anclajes de tubos Un anclaje de tubo para mantener la tensión en la manga de la tubería.,,2.6.5.7,.01-Máquinas-
21101513,Discos Dispositivo utilizado para la preparación de suelos.,,2.6.5.1,.01-Maquinaria y
22101703,Cuchillas o dientes u otros,,,
23121612,Agujas para máquina de cose,,,
23121614,Máquinas de coser,,,
23121615,"Mesas para cortar telas Mueble, por lo común de madera, que se compone de una o de varias tablas lisas",,,
23131507,Tela para lijar Es un tipo de tela que tiene adherido a su superficie algún material abrasivo.,,2.3.9.8,.01-Repuestos 2.3.6.4.06-Productos
23131512,Bandejas de agua Un tipo de embalaje donde se retiene el agua.,,2.3.9.8,.01-Repuestos 2.3.9.9.05-Productos y utiles
23131703,"Discos para hacer cabuchones Herramienta en forma circular para el lijado, pulido y corte.",,2.6.5.7,.01-Máquinas-
23152201,Mesas rotatorias,,,
23152203,Bancos de pruebas de,,,
23153501,Sistemas de aplicación de,,,
23171510,"Alambre soldador Herramienta portatil para uso de electronica en general, posee un alambre",,,
23171515,Electrodos para soldar Es un conductor utilizado para hacer contacto con una parte no metalica de un,,,
23171603,Cortadores de cañerías o,,,
23171604,Cortadores de alambres o,,,
24101507,Carretillas,,,
24102006,Bancos de trabajo,,,
24102202,Dispensadores de cinta para,,,
24111502,Bolsas de papel,,,
24111503,Bolsas plásticas Es un objeto cotidiano utilizado para transportar pequeñas cantidades de,,,
24111802,Tanques o cilindros de aire o,,,
24111803,"Tanques de almacenamiento Recipiente de gran tamaño, normalmente cerrado, destinado a contener líquidos o",,,
24111810,Tanques de almacenamiento,,,
24112004,Tolvas metálicas Dispositivo similar a un embudo de gran tamaño destinado al depósito y,,,
24112204,Cubos metálicos Cubo de chapa de hierro galvanizada para múltiple.,,2.3.6.3,.06-Productos
24112205,Cubos no metálicos,,,
24112504,"Cajas moldeadas Recipiente que, cubierto con una tapa suelta o unida a la parte principal, sirve para",,,
24112602,"Frascos Es un recipiente rígido, aproximadamente cilíndrica con una amplia boca o",,,
24121502,"Sacos o bolsas para empacar Receptáculo de tela, cuero, papel, etc., por lo común de forma rectangular o",,,
24121503,Cajas para empacar,,,
24121509,"Bandejas para empacar Piezas de metal o de otro material, para almacenar cosas.",,2.3.3.2,.01-Papel y cartón 2.3.9.9.05-Productos y utiles
24121807,Recipientes de plástico,,,
24122002,Botellas de plástico,,,
24122003,Botellas de cristal,,,
24122005,Botellas de aplicador Son recipientes de plástico utilizados para almacenar líquidos para su aplicación,,,
24131501,Refrigerador y congelador,,,
24131506,"Tanques refrigerados Tanques refrigerados o de baja presion, a la terminacion del fondo,",,2.6.5.4,.01-Sistemas de
24141506,"Encerados Lienzo preparado con cera, aceite de linaza u otros materiales, para hacerlo",,,
25171718,Kits de reparación de frenos Juego de herramientas que tienen como finalidad el mantenimiento y reparación,,,
25172601,Acabados para automotores,,,
25172905,Sistema para lavar o limpiar la,,,
25173107,Sistemas de posicionamiento,,,
25173303,Sistemas de computador Es la unidad de mando del vehículo.,,,
25173815,Cables de embrague El embrague es un sistema que permite tanto transmitir como interrumpir la,,,
25174004,"Refrigerante de motor Es un producto químico líquido o gaseoso, fácilmente licuable, que es utilizado",,,
25191513,Kit de mantenimiento de,,,
26101513,Kit de reparación de motores Herramientas especializadas para ser utilizadas en la repación de motores.,,2.3.9.8,.01-Repuestos 2.3.6.3.04-Herramientas
26101602,Motores de corriente alterna,,,
26101805,Kits de reparación del motor Herramientas especializadas para ser utilizadas en la repación de motores.,,2.3.9.8,.01-Repuestos 2.3.6.3.04-Herramientas
26111501,Conmutadores,,,
26112004,Kits de reparación del,,,
26112103,Sistemas de frenos mecánicos,,,
26121630,Accesorios de cable Elementos adicionales utilizados con los cables.,,2.3.9.6,.01-Productos
27111515,Taladro de mano,,,
27111704,Enchufes,,,
27111902,Limas,,,
27112011,Mangos de herramientas Dispositivos utilizados para sostener las herramientas para su utilización.,,2.3.6.3,.04-Herramientas
27112014,Cortadora de pasto,,,
27112132,Abrazaderas de fijación Anillo que abraza cualquier pieza circular de una máquina para sujetarla a un,,,
27112505,Ganchos para,,,
27112801,Brocas Barrena de boca cónica que se usa con las máquinas de taladrar.,,2.3.6.3,.06-Productos
27112802,Hojas de sierra Consiste en una hoja con el filo dentado y se maneja a mano o por otras fuentes de,,,
27112808,Anillos metálicos,,,
27112813,"Vara de extensión Pieza construida en forma de telescopio, en que la misma se puede plegar y",,,
27112814,Brocas de destornillador Barrena de diferentes tipos de boca que se utiliza para atornillar y desatornillar con,,,
27112823,Cadenas de corte,,,
27113201,Conjuntos generales de,,,
27113203,Kit de herramienta para,,,
27121701,Conectores hidráulicos,,,
27121702,Injertos o injertos dobles,,,
27121705,Codos hidráulicos o de,,,
27121707,Conectores de pliegue,,,
30101616,"Barras de metal precioso Es una pieza más larga que gruesa, hecha de metal precioso u otro material, que",,,
30103201,Rejilla de acero,,,
30103301,"Moldura de aluminio Parte saliente de perfil uniforme elaborado de aluminio, que sirve para adornar o",,,
30103312,"Molduras de metales ferrosos Parte saliente de perfil uniforme elaborado con metales ferrosos, que sirve para",,,
30151601,Plafones de tejado,,,
30151604,Brochas para techos Un drenaje para recibir el agua que se ha acumulado en la superficie de un techo y,,,
30151701,Boquillas de bajantes,,,
30151703,Canaletas,,,
30151901,Toldos,,,
30161505,Paneles o empanelado,,,
30161602,Paneles para techos Es un tipo de material de acabado para techo utilizado en el sistema de techo,,,
30161705,Pisos de caucho,,,
30161711,"Alfombras para exteriores Alfombra, generalmente todo-sintética, que ha sido especialmente diseñada para",,,
30161802,"Encimeras Se llama encimera, mesada (español rioplatense) o poyo (dialecto canario) al",,,
30161907,Escaleras,,,
30161908,Piezas de escaleras Partes de una serie o tramo de escalones,,,
30171503,Puertas rodantes,,,
30171504,Puertas de madera,,,
30171508,Puertas corrediza empotrable,,,
30171510,Puertas automáticas,,,
30171514,Cerradores de puertas,,,
30171607,Ventanas con hoja de,,,
30171609,"Ventanas fijas Fija, cuando sus hojas no se pueden mover. También se denomina ventana al",,,
30181503,Duchas,,,
30181515,Tanque del inodoro,,,
30201502,Invernaderos,,,
30201701,Oficinas en la fábrica Construcción modular que permite maximizar el espacio con el que se cuenta,,2.7.1.2,.01-Obras para
30201708,Auditorio,,,
30221005,Centro comercial,,,
30222023,Malecón Un muro de contención para evitar la erosión de la costa.,,2.7.2.4,.01-Infraestructura
30222202,"Subestación Una subsidiaria o estación rama, como de una oficina de correos o de una empresa",,,
31151904,Correas plásticas Un banda plana de plástico utilizada para la fijación o sujeción objetos entre sí o en,,,
31151905,"Correas de caucho Una larga tira de caucho utilizada para unir baúles, equipaje u otros objetos",,2.3.5.4,.01-Artículos de
31162404,Grapas,,,
31162506,Soporte de pared Un soporte que se proyecta desde una pared (como para sostener un estante),,2.3.6.3,.06-Productos
31162801,Chapas o pomos Un asa redondeada que se tira o se gira,,2.3.6.3,.04-Herramientas
31162802,Insertos Armadura de metal que abraza y asegura lo que se engasta.,,2.3.6.3,.04-Herramientas
31162803,Grilletes Grillete es un útil de elevación que se suele usar como pieza intermedia entre,,,
31162806,Cubiertas de tornillos Elementos de diferentes materiales utilizado para colocar sobre la cabeza de un,,,
31162810,Empalmes o placas de unión Una placa para unir las placas de alma o las bridas de las vigas.,,2.3.6.3,.04-Herramientas
31162901,Abrazaderas de espiga Abrazaderas con oreja consisten en una banda (generalmente de acero inoxidable),,,
31162906,Abrazaderas de manguera o,,,
31163210,Collares de retención Para mantener los rodamientos en las herramientas equipadas con guías,,,
31163301,Montante de dos extremos,,,
31171502,Rodamientos radiales Un cojinete de bolas en el que la dirección de la acción de la carga,,,
31171503,"Rodamientos de rueda Un montón de bolas de acero que se mantienen unidos por un anillo de metal, que",,,
31181501,Juntas obturadoras plásticas Un embalaje compresible de plástico intercalado entre las caras o bridas de una,,,
31181503,Juntas obturadoras de metal Un embalaje compresible de metal intercalado entre las caras o bridas de una,,,
31181504,Juntas obturadoras textiles Un embalaje compresible de un textil intercalado entre las caras o bridas de una,,,
31181601,"Sellos de plástico Sujetador que tiene una composición resinosa, que se hace plástico cuando se",,,
31181602,"Sellos de caucho Una sustancia, tira de material, etc utilizado para llenar una grieta para que el aire,",,,
31191506,"Discos abrasivos Almohadillas circulares de papel, metal, o plástico planas cubiertas con partículas",,,
31211901,"Paños para herramientas Una hoja, tal como de tela o de plástico, para la protección contra los derrames o",,,
31211912,Varillas telescópicas Dispositivo utilizado para poder alcanzar altas superficies a ser pintadas.,,2.3.6.3,.04-Herramientas
31231302,Tubería de cobre Una tubería o cañería es un conducto que cumple la función de transportar agua u,,,
31231314,Tubería de goma Una tubería o cañería es un conducto que cumple la función de transportar agua u,,,
31231318,Tubería de aluminio Una tubería o cañería es un conducto que cumple la función de transportar agua u,,,
31241501,"Lentes Son objetos transparentes (normalmente de vidrio), limitados por dos superficies,",,,
31261501,Cubiertas y carcasas de,,,
31311401,Ensambles de tubería soldada,,,
31371001,Paneles aislantes,,,
32101514,"Amplificadores Dispositivo que, mediante la utilización de energía, magnifica la amplitud de un",,,
32101617,Tarjetas inteligentes Cualquier tarjeta del tamaño de un bolsillo con circuitos integrados que permiten la,,,
39111521,Plafones Todo aquel dispositivo de iluminación que va instalado en techos.,,,
39111605,Iluminación paisajística,,,
39121004,Unidades de suministro de,,,
39121006,Adaptadores o inversores de,,,
39121009,Reguladores eléctricos o de,,,
39121103,Paneles,,,
39121108,Accesorios del panel de,,,
39121202,Canalización eléctrica,,,
39121204,Cables aéreos un conducto para cables,,2.3.9.9,.04-Productos y útiles
39121303,Cajas eléctricas Sistema que sirve como fuente para un hogar o edificio. La caja eléctrica es de,,,
39121304,Cubiertas de cajas eléctricas,,,
39121306,Cajas de conmutadores,,,
39121308,Cajas de toma de corriente,,,
39121309,Cajas eléctricas especiales,,,
39121310,"Cajas de uso general Sistema que sirve como fuente para un hogar o edificio, para usos diversos. La caja",,,
39121523,"Temporizadores Dispositivo, con frecuencia programable, que permite medir el tiempo.",,2.3.9.6,.01-Productos
39121551,Piezas de reflector Repuestos de una es una superficie que refleja la luz o cualquier otro tipo de onda,,2.3.9.6,.01-Productos
39121601,Breakers de circuito,,,
39121615,Breakers de circuito de aire,,,
39121616,Breakers de circuito de caja,,,
39121701,Soportes eléctricos Elemnetos utilizados para suspender y mantener el conducto y los cables en su,,,
39121703,Enlaces de cables Elemento de sujeción generalmente empleado para unir cables.,,2.3.9.6,.01-Productos
39121704,Placas de pared Son modulares que se colocan en las paredes u otra superficie que albergara todo,,,
39121705,"Grapas para cables Elemento de sujeción generalmente empleado para unir cables, la diferecia con el",,,
39121717,Montaje de fijador de cable,,,
39121719,Protectores Materiales utilizados para brindarle al cableado electrico mayor durabilidad y así,,,
40101505,Difusores de aire Los difusores variables son válvulas que cambian su sección de paso cuando se,,,
40101506,Tubos de ventilación,,,
40101701,Aires acondicionados,,,
40101702,Intercambiadores de enfriado Un componente de un sistema hidráulico que alivia el calor,,,
40101703,Enfriadores de evaporación,,,
40101704,Unidades de condensación,,,
40101707,Accesorios para torres de,,,
40101808,Estufas de calefacción Un aparato en el que la electricidad o un combustible se utiliza para suministrar,,,
40141607,Válvulas de bola,,,
40141609,Válvulas de control,,,
40141610,Válvulas de flotación,,,
40141631,Válvulas de bombeo,,,
40141701,Desagües Diseñado para drenar el exceso de lluvia y agua superficial desde calles,,,
40141703,Boquillas de ducha Es una boquilla perforada que distribuye agua sobre un gran ángulo sólido en el,,,
40141704,Espigas Un grifo de madera colocado en la boca de tonel de un barril.,,2.3.6.3,.04-Herramientas
40141716,Sifones en P Formación de un sello de agua en una tubería de desagüe o en el suelo trampa en,,,
40141720,Conectores para plomería,,,
40141725,Ganchos (soportes) para,,,
40141731,Boquillas,,,
40141734,Conectores para mangueras Un tipo de conexión se utiliza para conectar una manguera a otro componente de,,,
40141742,Atomizadores,,,
