Código UNSPSC,Descripción,Definición,Código Segmento,Segmento,Código Familia,Familia,Código Clase,Clase,Fecha Versión
10101501,Gatos,"Mamífero carnívoro de la familia de los Félidos, doméstico, de unos cinco decímetros de largo desde la cabeza hasta el arranque de la cola, que por sí sola mide dos decímetros aproximadamente.",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101500,Animales  de  granja,2026-06-18 12:27:54
10101502,Perros,"Mamífero doméstico de la familia de los Cánidos, de tamaño, forma y pelaje muy diversos, según las razas. Tiene olfato muy fino y es inteligente y muy leal al hombre. ",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101500,Animales  de  granja,2026-06-18 12:27:54
10101504,Visón,"Mamífero carnicero semejante a la nutria, con los dedos reunidos hasta más de la mitad por una membrana. Se alimenta de toda clase de animales pequeños.",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101500,Animales  de  granja,2026-06-18 12:27:54
10101505,Ratas,"Mamífero roedor. Es animal muy fecundo, destructor y voraz, se ceba con preferencia en las sustancias duras, y vive por lo común en los edificios y embarcaciones.",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101500,Animales  de  granja,2026-06-18 12:27:54
10101506,Caballos,"Mamífero del orden de los Perisodáctilos, solípedo, de cuello y cola poblados de cerdas largas y abundantes, que se domestica fácilmente.",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101500,Animales  de  granja,2026-06-18 12:27:54
10101507,Ovejas,"Mamífero rumiante, que alcanza de siete a ocho decímetros de altura hasta la cruz, con frente convexa, cuernos huecos, angulosos, arrugados transversalmente y arrollados en espiral, y lana espesa, blanca, negra o rojiza",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101500,Animales  de  granja,2026-06-18 12:27:54
10101508,Cabras,"Mamífero rumiante doméstico, como de un metro de altura, ligero, esbelto, con pelo corto, áspero y a menudo rojizo, cuernos huecos, grandes, esquinados, nudosos y vueltos hacia atrás, un mechón de pelos largos colgante de la mandíbula inferior y cola muy ",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101500,Animales  de  granja,2026-06-18 12:27:54
10101509,Asnos,"Animal solípedo, como de metro y medio de altura, de color, por lo común, ceniciento, con las orejas largas y la extremidad de la cola poblada de cerdas. Es muy sufrido y se le emplea como caballería y como bestia de carga y a veces también de tiro",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101500,Animales  de  granja,2026-06-18 12:27:54
10101510,Ratones,"Mamífero roedor, de unos dos decímetros de largo desde el hocico hasta la extremidad de la cola, que tiene la mitad, de pelaje generalmente gris, muy fecundo y ágil y que vive en las casas, donde causa daño por lo que come, roe y destruye. Hay especies qu",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101500,Animales  de  granja,2026-06-18 12:27:54
10101511,Cerdos,"Mamífero artiodáctilo del grupo de los Suidos, que se cría en domesticidad para aprovechar su cuerpo en la alimentación humana y en otros usos",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101500,Animales  de  granja,2026-06-18 12:27:54
10101512,Conejos,"Mamífero del orden de los Lagomorfos, de unos cuatro decímetros de largo, comprendida la cola. Tiene pelo espeso de color ordinariamente gris, orejas tan largas como la cabeza, patas posteriores más largas que las anteriores, aquellas con cuatro dedos y e",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101500,Animales  de  granja,2026-06-18 12:27:54
10101513,Cobayas o conejillos de indias,"Mamífero del orden de los Roedores, parecido al conejo, pero más pequeño, con orejas cortas, cola casi nula, tres dedos en las patas posteriores y cuatro en las anteriores. Se usa mucho en experimentos de medicina y bacteriología",10000000,"Material  vivo  vegetal  y  animal,  accesorios  y  suministros ",10100000,Animales  vivos,10101500,Animales  de  granja,2026-06-18 12:27:54
